,poi,salary,deferral_payments,total_payments,loan_advances,bonus,restricted_stock_deferred,deferred_income,total_stock_value,expenses,exercised_stock_options,other,long_term_incentive,restricted_stock,director_fees,to_messages,from_poi_to_this_person,from_messages,from_this_person_to_poi,shared_receipt_with_poi
bonus,0.359381303662,0.649637633909,0.17469527847,0.559795188205,0.432386551435,1.0,-0.0432032823267,-0.331748986518,0.461614735468,0.246102762424,0.416767999095,0.383661089718,0.497975814653,0.423973732836,-0.176013434339,0.520081104133,0.641137079753,0.174600947829,0.448719481678,0.665150870095
deferral_payments,-0.0390672626834,0.243606393803,1.0,0.141531112245,0.0146820681443,0.17469527847,-0.0303867520065,-0.543416235181,0.119081553954,-0.0201350528929,0.117976186784,0.369037666621,0.119951504873,0.0886142146513,-0.0946618379485,0.124692429925,0.217234951293,0.029140811802,0.00237448382555,0.210610280687
deferred_income,-0.274761778742,-0.330233599019,-0.543416235181,-0.103968953866,-0.0253676925479,-0.331748986518,0.0478429154782,1.0,-0.245018003997,-0.0416384744343,-0.268770665724,-0.265704091351,-0.296561412017,-0.12648650577,0.0757755473094,-0.122059927999,-0.195217499406,-0.0148419162609,-0.0049919279866,-0.236774905886
director_fees,-0.120936203747,-0.302187886136,-0.0946618379485,-0.0259157197965,-0.0275417630602,-0.176013434339,0.346193385412,0.0757755473094,-0.146216865516,-0.137513498191,-0.116130394239,-0.0798989625663,-0.157442509051,-0.177184732758,1.0,-0.169388784732,-0.167538686242,-0.0797875960758,-0.098722265203,-0.196130375743
exercised_stock_options,0.387552515957,0.449913093968,0.117976186784,0.598970769423,0.568085637245,0.416767999095,-0.00218135157693,-0.268770665724,0.963921426094,0.12262821621,1.0,0.55085057685,0.399427728218,0.587478889032,-0.116130394239,0.0859180649044,0.125965038954,-0.0233223736668,0.00267018821324,0.126581370016
expenses,0.205076641522,0.3614326445,-0.0201350528929,0.151734201219,0.121676622133,0.246102762424,-0.0675393457922,-0.0416384744343,0.153640086551,1.0,0.12262821621,0.13887701317,0.0978978884359,0.181428348658,-0.137513498191,0.243540776497,0.148235012558,0.155852224286,0.134638766732,0.287914833967
from_messages,-0.0339816571051,0.14404324437,0.029140811802,0.00909323617868,-0.0195177229365,0.174600947829,-0.0223959274226,-0.0148419162609,-0.0112685712152,0.155852224286,-0.0233223736668,-0.0543163987399,0.0554610665536,0.0228959072896,-0.0797875960758,0.508195543236,0.253744785394,1.0,0.609585684977,0.301490197461
from_poi_to_this_person,0.190460036706,0.40734891946,0.217234951293,0.215986746235,0.100622121381,0.641137079753,-0.0466531980628,-0.195217499406,0.138006607943,0.148235012558,0.125965038954,0.160612401097,0.26740005017,0.125990045547,-0.167538686242,0.618484359372,1.0,0.253744785394,0.497978855229,0.733038164365
from_this_person_to_poi,0.129618627804,0.2069589573,0.00237448382555,0.0622088765827,-0.00967902218975,0.448719481678,-0.0222677517113,-0.0049919279866,0.0220714056176,0.134638766732,0.00267018821324,-0.0492452911349,0.156910330957,0.0597957016497,-0.098722265203,0.60530557581,0.497978855229,0.609585684977,1.0,0.524710349117
loan_advances,0.220294962757,0.387788291433,0.0146820681443,0.964213542237,1.0,0.432386551435,-0.00487075341754,-0.0253676925479,0.630061008418,0.121676622133,0.568085637245,0.759361973028,0.402060291583,0.58128945414,-0.0275417630602,0.115600379024,0.100622121381,-0.0195177229365,-0.00967902218975,0.137420970794
